cartridge/publisher	dataset	partition	prop target(pt)	deepestProp	github 
dnb	authorities	corporateBody	company	https://d-nb.info/standards/elementset/gnd#placeOfBusiness	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/corporateBody/company.pt-construct
dnb	authorities	corporateBody	license	http://purl.org/dc/terms/license	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/corporateBody/license.pt-construct
dnb	authorities	corporateBody	locationName	https://d-nb.info/standards/elementset/gnd#preferredNameForTheCorporateBody	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/corporateBody/locationName.pt-construct
dnb	authorities	corporateBody	otherName	https://d-nb.info/standards/elementset/gnd#variantNameForTheCorporateBody	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/corporateBody/otherName.pt-construct
dnb	authorities	differentiatedPerson	birthPlace	https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/birthPlace.pt-construct
dnb	authorities	differentiatedPerson	commonName	https://d-nb.info/standards/elementset/gnd#variantNameForThePerson	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/commonName.pt-construct
dnb	authorities	differentiatedPerson	deathPlace	https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/deathPlace.pt-construct
dnb	authorities	differentiatedPerson	description	https://d-nb.info/standards/elementset/gnd#biographicalOrHistoricalInformation	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/description.pt-construct
dnb	authorities	differentiatedPerson	givenName	https://d-nb.info/standards/elementset/gnd#forename	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/givenName.pt-construct
dnb	authorities	differentiatedPerson	personName	https://d-nb.info/standards/elementset/gnd#preferredNameForThePerson	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/personName.pt-construct
dnb	authorities	differentiatedPerson	profession	https://d-nb.info/standards/elementset/gnd#gndSubjectCategory	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/profession.pt-construct
dnb	authorities	differentiatedPerson	surname	https://d-nb.info/standards/elementset/gnd#surname	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/differentiatedPerson/surname.pt-construct
dnb	authorities	musicalWork	instrument	https://d-nb.info/standards/elementset/gnd#preferredNameForTheSubjectHeading	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/musicalWork/instrument.pt-construct
dnb	authorities	musicalWork	musicComposer	https://d-nb.info/standards/elementset/gnd#firstComposer	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/musicalWork/musicComposer.pt-construct
dnb	authorities	musicalWork	originalTitle	https://d-nb.info/standards/elementset/gnd#preferredNameForTheWork	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/musicalWork/originalTitle.pt-construct
dnb	authorities	musicalWork	productionEndDate	https://d-nb.info/standards/elementset/gnd#dateOfProduction	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/musicalWork/productionEndDate.pt-construct
dnb	authorities	musicalWork	updated	http://purl.org/dc/terms/modified	https://github.com/dbpedia/dnkg-pilot/blob/master/cartridges/dnb/authorities/musicalWork/updated.pt-construct
